generation,rank_1,rank_2,swapAccepted
1145000,1,8,0
1146000,1,7,0
1147000,5,7,0
1148000,1,3,0
1149000,4,5,0
1150000,3,6,0
1151000,4,7,0
1152000,2,7,0
1153000,4,8,0
1154000,6,7,0
1155000,2,7,0
1156000,1,8,0
1157000,3,6,0
1158000,1,2,0
1159000,4,8,0
1160000,3,6,0
1161000,2,8,0
1162000,1,7,0
1163000,1,4,0
1164000,1,5,0
1165000,5,6,0
1166000,1,4,0
1167000,3,7,0
1168000,1,4,0
1169000,6,8,1
1170000,1,6,0
1171000,1,8,0
1172000,1,3,0
1173000,2,7,0
1174000,1,5,0
1175000,5,7,1
1176000,4,8,0
1177000,5,6,1
1178000,1,8,0
1179000,4,6,0
1180000,2,8,0
1181000,1,3,1
1182000,2,4,0
1183000,4,6,0
1184000,1,7,0
1185000,2,4,1
1186000,2,8,0
1187000,3,8,0
1188000,4,5,1
1189000,1,5,0
1190000,1,4,0
1191000,1,8,0
1192000,6,7,0
1193000,2,4,0
1194000,7,8,0
1195000,2,3,1
1196000,3,8,0
1197000,1,6,0
1198000,1,6,0
1199000,2,4,1
1200000,2,6,0
1201000,6,8,0
1202000,1,2,0
1203000,2,8,0
1204000,5,6,1
1205000,1,7,0
1206000,2,3,1
1207000,4,6,1
1208000,2,4,0
1209000,5,7,1
1210000,2,4,0
1211000,2,3,1
1212000,1,7,0
1213000,2,3,0
1214000,4,7,0
1215000,7,8,1
1216000,1,4,0
1217000,1,8,0
1218000,5,8,0
1219000,6,7,1
1220000,2,5,0
1221000,2,5,1
1222000,7,8,1
1223000,2,4,0
1224000,1,6,0
1225000,4,7,0
1226000,5,8,0
1227000,5,7,0
1228000,3,7,0
1229000,4,6,1
1230000,1,2,0
1231000,3,6,0
1232000,2,5,0
1233000,7,8,1
1234000,1,5,0
1235000,2,5,0
1236000,2,8,0
1237000,6,8,0
1238000,5,6,1
1239000,3,6,0
1240000,4,7,0
1241000,4,6,0
1242000,1,4,0
1243000,3,8,0
1244000,6,7,1
1245000,3,8,0
1246000,2,7,0
1247000,5,8,1
1248000,3,7,0
1249000,2,5,0
1250000,4,5,0
1251000,2,5,0
1252000,2,3,0
1253000,5,7,0
1254000,3,7,0
1255000,4,8,0
1256000,1,4,0
1257000,1,5,0
1258000,3,4,0
1259000,1,2,1
1260000,5,8,0
1261000,3,6,0
1262000,1,8,0
1263000,1,5,0
1264000,5,7,1
1265000,1,4,0
1266000,2,8,0
1267000,4,5,0
1268000,6,7,1
1269000,5,6,0
1270000,7,8,1
1271000,1,7,0
1272000,1,7,0
1273000,1,2,0
1274000,5,6,0
1275000,3,4,1
1276000,7,8,1
1277000,4,6,0
1278000,2,8,0
1279000,5,6,1
1280000,2,4,0
1281000,1,4,0
1282000,2,4,0
1283000,5,7,0
1284000,2,3,0
1285000,5,8,0
1286000,5,8,0
1287000,2,3,1
1288000,3,4,1
1289000,4,7,0
