generation,rank_1,rank_2,swapAccepted
876000,2,5,0
877000,2,3,0
878000,2,7,0
879000,4,7,0
880000,1,7,0
881000,3,4,1
882000,6,8,1
883000,1,6,0
884000,3,8,0
885000,5,6,1
886000,3,8,0
887000,4,8,0
888000,4,8,0
889000,2,5,0
890000,5,8,0
891000,1,3,0
892000,5,6,0
893000,3,4,0
894000,1,8,0
895000,4,8,0
896000,1,4,0
897000,3,8,0
898000,1,4,0
899000,2,6,0
900000,3,4,0
901000,3,4,1
902000,4,5,1
903000,2,5,0
904000,3,4,0
905000,1,3,0
906000,2,5,0
907000,1,3,0
908000,1,6,0
909000,2,8,0
910000,4,5,0
911000,1,8,0
912000,2,4,0
913000,2,8,0
914000,3,7,0
915000,4,5,1
916000,3,5,1
917000,2,7,0
918000,3,7,0
919000,3,8,0
920000,5,8,0
921000,1,7,0
922000,2,8,0
923000,5,8,0
924000,3,5,0
925000,2,7,0
926000,2,3,1
927000,1,8,0
928000,2,7,0
929000,3,4,1
930000,4,8,0
931000,5,6,1
932000,2,3,1
933000,4,8,0
934000,7,8,1
935000,2,5,1
936000,2,7,0
937000,2,3,0
938000,6,8,1
939000,4,6,0
940000,4,6,0
941000,2,5,0
942000,5,7,0
943000,5,7,0
944000,3,5,1
945000,6,7,1
946000,2,5,1
947000,3,6,1
948000,3,7,0
949000,1,4,0
950000,5,7,1
951000,1,3,0
952000,4,7,0
953000,3,4,1
954000,5,8,0
955000,5,7,0
956000,7,8,0
957000,1,7,0
958000,6,7,0
959000,2,5,0
960000,2,4,0
961000,2,5,0
962000,3,8,0
963000,6,7,0
964000,2,5,0
965000,3,4,1
966000,3,5,0
967000,1,4,0
968000,2,7,0
969000,2,3,1
970000,4,5,1
971000,6,7,0
972000,3,4,1
973000,5,7,1
974000,1,2,0
975000,2,5,0
976000,2,5,0
977000,6,8,0
978000,5,8,0
979000,3,7,0
980000,2,7,0
981000,1,8,0
982000,1,8,0
983000,6,8,1
984000,1,7,0
985000,1,2,1
986000,1,4,0
987000,1,5,0
988000,3,4,0
989000,1,5,0
990000,3,5,0
991000,3,4,0
992000,2,4,0
993000,4,6,0
994000,2,6,0
995000,4,8,0
996000,1,7,0
997000,1,5,0
998000,1,2,0
999000,1,4,0
1000000,3,8,0
1001000,1,2,0
1002000,1,8,0
1003000,2,6,0
1004000,3,7,0
1005000,2,7,0
1006000,2,8,0
1007000,6,7,0
1008000,3,7,0
1009000,1,3,0
1010000,4,8,0
1011000,3,5,0
1012000,5,8,0
1013000,1,5,0
1014000,2,8,0
1015000,5,6,0
1016000,4,5,1
1017000,2,7,0
1018000,2,4,0
1019000,6,8,0
1020000,4,5,1
