generation,N_shifts,logPrior,logLik,eventRate,acceptRate
9390000,19,68.9778,39.3467,20.6545,0.2083
9420000,20,70.9363,75.0951,18.2893,0.203367
9450000,36,130.555,62.8056,27.2231,0.218933
9480000,24,89.0299,44.1799,23.1883,0.218067
9510000,15,45.588,79.1891,16.0647,0.2071
9540000,26,93.4695,55.3322,20.9091,0.2157
9570000,36,125.627,25.1615,38.7437,0.225033
9600000,23,76.5333,74.4247,19.4594,0.2152
9630000,28,107.261,67.1183,27.7539,0.2202
9660000,39,128.31,56.1945,33.2301,0.206267
9690000,28,97.2267,51.0215,30.0743,0.215467
9720000,27,98.001,39.6351,29.791,0.217667
9750000,27,96.1328,45.7854,29.3429,0.215233
9780000,28,104.557,45.4982,26.116,0.213667
9810000,30,101.392,47.5902,40.2628,0.209567
9840000,38,139.493,27.6881,41.893,0.214
9870000,18,64.5962,35.524,15.5471,0.208467
9900000,15,59.2472,25.5637,18.9798,0.2191
9930000,41,147.648,65.9007,39.094,0.218
9960000,41,154.005,54.9406,45.1816,0.2123
9990000,42,149.566,53.5087,40.6044,0.213233
10020000,22,81.7588,70.8976,24.1206,0.202533
10050000,37,138.218,45.9746,35.1278,0.204133
10080000,19,65.5276,37.8005,14.4648,0.200433
10110000,17,58.1196,63.5559,16.4331,0.209
10140000,20,63.5317,65.581,12.8986,0.206833
10170000,36,123.751,41.7887,42.0678,0.2127
10200000,29,92.3823,30.2098,25.7047,0.215167
10230000,19,61.3907,24.7141,14.1138,0.2119
10260000,20,74.2204,49.0042,23.2043,0.2144
10290000,14,50.0201,54.285,9.93988,0.206
10320000,11,40.6071,65.7344,15.7409,0.1911
10350000,39,133.424,56.2227,36.5754,0.200233
10380000,21,71.2518,45.6262,21.2745,0.216367
10410000,35,126.651,55.8987,43.3442,0.205167
10440000,34,115.297,59.0702,36.2612,0.2081
10470000,27,95.757,47.0896,24.719,0.209033
10500000,35,120.308,57.9493,33.2844,0.208567
10530000,44,167.176,48.4039,37.225,0.2108
10560000,37,136.658,56.5814,37.6216,0.212767
10590000,33,119.144,59.4991,41.2645,0.2099
10620000,36,126.448,44.369,41.6585,0.208567
10650000,46,170.04,42.7598,41.7299,0.214767
10680000,35,136.273,35.6992,34.3677,0.218067
10710000,43,148.024,25.6307,27.8303,0.213067
10740000,33,130.038,69.3391,27.6809,0.2106
10770000,43,168.5,45.2068,44.4155,0.215133
10800000,22,83.1968,67.9401,27.8429,0.207
10830000,38,132.252,46.538,44.9393,0.211033
10860000,30,108.64,44.4926,42.5528,0.213967
10890000,34,118.066,46.37,34.6177,0.2075
10920000,40,147.966,78.3003,39.1483,0.214
10950000,80,291.725,44.2897,97.1567,0.218767
10980000,26,87.6477,51.4191,33.803,0.2161
11010000,31,113.947,80.6075,33.4999,0.2075
11040000,42,149.168,96.051,43.3702,0.201167
11070000,44,143.415,100.312,43.5952,0.1947
11100000,52,172.167,103.929,50.0018,0.195933
11130000,23,77.8229,56.4963,23.9359,0.207867
11160000,30,115.86,49.3935,33.6957,0.2032
11190000,33,118.88,75.5056,31.6405,0.1982
11220000,12,44.1244,40.1315,13.9944,0.196067
11250000,24,83.5689,68.0965,26.2404,0.209
11280000,25,92.7249,76.5927,28.1147,0.2105
11310000,23,77.2073,47.0585,25.6627,0.206867
11340000,41,135.884,79.5151,52.4663,0.203633
11370000,19,66.9399,37.4388,25.0499,0.204733
11400000,16,61.5145,13.8827,18.5644,0.211767
11430000,22,77.4369,55.1115,16.7502,0.207533
11460000,15,55.0774,26.4135,15.3947,0.212933
11490000,25,94.9261,74.2716,25.538,0.203033
11520000,28,106.694,26.3597,28.3765,0.2086
11550000,15,49.2868,44.981,15.3583,0.213133
11580000,17,58.7089,68.6145,15.8623,0.201933
11610000,27,93.6311,68.4979,21.9122,0.210867
11640000,31,97.3899,84.8264,32.3519,0.201533
11670000,26,88.1978,87.7823,29.5387,0.204133
11700000,38,127.968,102.564,38.1712,0.202933
11730000,49,171.947,120.562,66.7877,0.198167
11760000,40,135.584,80.9729,37.7749,0.2047
11790000,46,152.868,48.7837,37.4573,0.2113
11820000,27,91.4396,62.9444,23.1835,0.204433
11850000,26,92.6202,54.9397,29.9373,0.213
11880000,25,81.801,46.5736,32.1383,0.207533
11910000,14,47.4696,31.4822,15.6666,0.208533
11940000,26,87.7909,83.0973,20.628,0.203433
11970000,16,59.5604,40.0079,11.1406,0.204533
12000000,23,81.6388,32.9843,18.9918,0.327794
12030000,20,74.2242,59.9179,14.9977,0.210833
12060000,16,58.091,67.4206,13.996,0.210933
12090000,20,65.1894,44.852,15.0858,0.2134
12120000,21,73.0149,48.0021,19.0384,0.2068
12150000,38,130.89,56.8218,45.4296,0.2108
12180000,25,84.1604,58.0769,22.9211,0.209433
12210000,16,57.3037,42.8329,13.5383,0.206133
12240000,22,75.2407,60.1141,16.7634,0.211633
12270000,29,101.824,40.032,43.1369,0.214367
12300000,15,50.3185,56.8719,11.6901,0.207733
12330000,12,44.6083,54.7604,12.3278,0.212933
12360000,33,118.406,24.852,30.7612,0.2153
12390000,25,85.7343,77.1429,24.0247,0.214767
12420000,21,74.764,80.0261,14.9211,0.201133
12450000,37,129.781,72.5539,41.4283,0.208267
12480000,29,106.572,52.4556,21.9186,0.215167
12510000,25,96.1873,72.2813,29.4517,0.199833
12540000,29,110.005,43.5709,27.6181,0.207767
12570000,21,78.9322,101.778,28.7178,0.204
12600000,26,100.414,20.2693,32.858,0.2068
12630000,19,67.0266,71.4286,18.699,0.2119
12660000,40,147.91,50.2782,49.0718,0.209167
12690000,42,142.588,47.1671,49.7628,0.208233
12720000,32,114.617,66.3098,36.7211,0.2062
12750000,35,127.953,44.9775,41.8246,0.2081
12780000,24,84.8007,58.9827,25.3327,0.203
12810000,28,95.9359,33.7287,36.0243,0.2175
12840000,23,70.8287,26.4364,30.7922,0.215533
12870000,21,62.8522,57.2194,15.6249,0.213867
12900000,22,85.7392,81.2459,13.0995,0.202833
12930000,20,80.8759,30.4667,28.9402,0.2053
12960000,31,116.444,35.3341,38.2353,0.222967
12990000,33,126.957,71.2868,32.2357,0.2105
13020000,24,81.2873,66.0629,32.115,0.210933
13050000,32,110.913,52.3586,28.1999,0.2179
13080000,28,104.169,63.5039,24.8061,0.209267
13110000,14,55.7094,-0.317351,17.4925,0.277728
13140000,11,42.0043,42.7046,12.1162,0.209233
13170000,19,69.4041,34.5963,15.0521,0.209433
13200000,23,74.6839,11.8406,24.0713,0.214733
13230000,13,42.7275,28.1515,11.391,0.210767
13260000,20,66.3151,12.5272,23.7713,0.2157
13290000,28,101.236,1.68155,31.5727,0.217919
13320000,16,51.2992,38.0593,15.2048,0.2093
13350000,30,113.982,57.7047,35.0998,0.203833
13380000,14,41.4461,33.0879,16.2185,0.208167
13410000,25,88.4822,55.6586,32.1391,0.208067
13440000,12,39.3249,44.6792,15.6209,0.202533
13470000,21,74.5488,67.4367,19.8842,0.201133
13500000,27,98.5256,59.2514,30.2741,0.201333
13530000,13,45.2116,30.7799,14.4728,0.194967
13560000,16,59.1121,56.7333,12.9612,0.204433
13590000,19,69.1202,73.4248,24.9616,0.204067
13620000,34,116.189,74.5116,42.3934,0.206167
13650000,28,107.479,44.5361,25.261,0.203267
13680000,24,80.1272,54.8287,23.1706,0.228324
13710000,24,79.1748,90.141,25.5357,0.20575
13740000,29,99.5119,60.4812,30.0854,0.2022
